Log file created on 2020-01-16 15:31:57.143428

aug : None
aug_size : 50000
batch_size : 128
dataset : cifar100
device : cuda:0
epochs : 600
learning_rate : 0.1
lr_decay_epochs : [200, 300, 400, 500]
lr_decay_rate : 0.1
model : resnet20
model_name : resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
model_path : ./save/models_t
momentum : 0.9
num_workers : 8
print_freq : 50
save_folder : ./save/models_t/resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
save_freq : 40
tb_freq : 500
trial : 0
weight_decay : 0.0005

Epoch: 79, l_xent: 1.5193, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.04, acc_test: 48.96, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:47:07.196080
Epoch: 80, l_xent: 1.5223, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.03, acc_test: 44.04, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:47:18.889320
Epoch: 81, l_xent: 1.5185, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.26, acc_test: 47.41, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:47:30.547638
Epoch: 82, l_xent: 1.5138, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.17, acc_test: 44.81, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:47:42.148884
Epoch: 83, l_xent: 1.5140, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.12, acc_test: 41.41, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:47:53.885727
Epoch: 84, l_xent: 1.5141, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.05, acc_test: 49.26, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:48:05.562233
Epoch: 85, l_xent: 1.5169, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.23, acc_test: 49.01, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:48:17.222961
Epoch: 86, l_xent: 1.5163, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.31, acc_test: 49.78, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:48:28.982053
Epoch: 87, l_xent: 1.5096, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.01, acc_test: 46.32, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:48:40.592280
Epoch: 88, l_xent: 1.5114, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.45, acc_test: 47.00, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:48:52.261592
Epoch: 89, l_xent: 1.5103, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.35, acc_test: 44.53, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:49:03.819825
Epoch: 90, l_xent: 1.5155, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.07, acc_test: 50.48, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:49:15.542348
Epoch: 91, l_xent: 1.5060, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.44, acc_test: 45.43, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:49:27.226904
Epoch: 92, l_xent: 1.5102, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.40, acc_test: 49.46, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:49:38.995608
Epoch: 93, l_xent: 1.5102, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.35, acc_test: 48.36, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:49:50.632692
Epoch: 94, l_xent: 1.4972, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.56, acc_test: 45.38, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:50:02.229496
Epoch: 95, l_xent: 1.5152, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.13, acc_test: 47.02, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:50:13.980256
Epoch: 96, l_xent: 1.4977, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.72, acc_test: 41.92, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:50:25.671460
Epoch: 97, l_xent: 1.5054, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.40, acc_test: 47.40, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:50:37.337148
Epoch: 98, l_xent: 1.5045, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.67, acc_test: 44.38, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:50:49.015639
Epoch: 99, l_xent: 1.5062, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.43, acc_test: 42.58, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:00.695045
Epoch: 100, l_xent: 1.5080, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.42, acc_test: 47.15, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:12.329463
Epoch: 101, l_xent: 1.5000, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.56, acc_test: 46.98, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:23.991378
Epoch: 102, l_xent: 1.5057, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.39, acc_test: 49.21, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:35.713922
Epoch: 103, l_xent: 1.5018, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.60, acc_test: 46.87, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:47.318226
Epoch: 104, l_xent: 1.4950, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.65, acc_test: 46.70, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:51:58.949214
Epoch: 105, l_xent: 1.4993, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.84, acc_test: 45.92, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:52:10.612859
Epoch: 106, l_xent: 1.4987, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.68, acc_test: 43.74, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:52:22.308905
Epoch: 107, l_xent: 1.5039, l_kd: 0.0000, l_other: 0.0000, acc_train: 57.17, acc_test: 46.57, acc_test_best: 50.95, lr: 0.099949, time: 2020-01-16 15:52:33.959940
